Area,Ages,Hindus,Muslims,Christians,Sikhs,Other Minorities
INDIA,0-4,87320843,19435236,2330405,1512643,1822093
INDIA,5-9,98842302,21478536,2560275,1687394,2019669
INDIA,10-14,104107800,21451442,2760926,1904993,2150595
INDIA,15-19,94463520,19101614,2570883,2111594,1978731
INDIA,20-24,88102231,16640317,2441355,2051985,1921896
INDIA,25-29,81398001,13927787,2305878,1774466,1783784
INDIA,30-34,71731534,11540455,2046431,1548589,1553037
INDIA,35-39,69143968,10873884,2004636,1473691,1490874
INDIA,40-44,58915047,8890392,1828958,1362766,1318793
INDIA,45-49,50873920,7291929,1676544,1224502,1150678
INDIA,50-54,40134461,5579972,1369795,976351,929722
INDIA,55-59,32138810,4314996,1131188,759849,737529
INDIA,60-64,30934965,4190178,968165,823165,684171
INDIA,65-69,21841646,2801836,657583,596972,511245
INDIA,70-74,15922071,1981615,484815,431192,354019
INDIA,75-79,7640136,878766,295335,222010,178554
INDIA,80+,9212211,1202328,330504,327614,189025
State - JAMMU & KASHMIR,0-4,298020,1086340,3088,14817,8978
State - JAMMU & KASHMIR,5-9,320916,1058931,3005,16642,10075
State - JAMMU & KASHMIR,10-14,336090,1043207,3069,18007,11370
State - JAMMU & KASHMIR,15-19,321129,881127,2999,19521,11114
State - JAMMU & KASHMIR,20-24,348796,773509,3794,22256,11025
State - JAMMU & KASHMIR,25-29,378998,664749,4773,25007,10962
State - JAMMU & KASHMIR,30-34,313095,578134,3636,21265,9498
State - JAMMU & KASHMIR,35-39,271507,535466,2940,18630,8467
State - JAMMU & KASHMIR,40-44,229460,457165,2499,17271,7010
State - JAMMU & KASHMIR,45-49,195311,371782,1837,15401,5953
State - JAMMU & KASHMIR,50-54,150760,298831,1210,12266,5130
State - JAMMU & KASHMIR,55-59,109314,216247,855,9085,4279
State - JAMMU & KASHMIR,60-64,95783,214448,679,7669,3851
State - JAMMU & KASHMIR,65-69,64408,130522,387,5671,2790
State - JAMMU & KASHMIR,70-74,55357,121017,378,4605,2478
State - JAMMU & KASHMIR,75-79,30465,50096,176,2728,1534
State - JAMMU & KASHMIR,80+,43654,77056,268,3791,1919
State - HIMACHAL PRADESH,0-4,516369,15929,979,5548,4822
State - HIMACHAL PRADESH,5-9,559950,16454,1092,6375,6328
State - HIMACHAL PRADESH,10-14,604962,16635,1198,7517,7948
State - HIMACHAL PRADESH,15-19,606791,15926,1028,7742,8116
State - HIMACHAL PRADESH,20-24,610018,16350,1418,7687,7540
State - HIMACHAL PRADESH,25-29,559563,13510,1320,6636,7432
State - HIMACHAL PRADESH,30-34,520197,11073,1138,6344,7076
State - HIMACHAL PRADESH,35-39,494153,10097,1004,6200,6121
State - HIMACHAL PRADESH,40-44,425702,8309,857,5290,5105
State - HIMACHAL PRADESH,45-49,378408,6701,664,4737,4391
State - HIMACHAL PRADESH,50-54,316792,5317,534,3975,3860
State - HIMACHAL PRADESH,55-59,256256,3893,453,3145,2953
State - HIMACHAL PRADESH,60-64,222116,3350,355,2768,2661
State - HIMACHAL PRADESH,65-69,152408,2089,218,1912,1889
State - HIMACHAL PRADESH,70-74,125112,1787,135,1617,1847
State - HIMACHAL PRADESH,75-79,72361,926,107,946,1315
State - HIMACHAL PRADESH,80+,102052,1385,124,1406,1669
State - PUNJAB,0-4,868419,54191,32191,1162384,6361
State - PUNJAB,5-9,954711,58954,35693,1301612,7330
State - PUNJAB,10-14,999079,59105,37355,1470067,7831
State - PUNJAB,15-19,1057578,58604,38535,1644567,8208
State - PUNJAB,20-24,1087918,57305,36126,1577430,8227
State - PUNJAB,25-29,1017273,49244,30626,1350526,7944
State - PUNJAB,30-34,863414,40950,25619,1173198,7009
State - PUNJAB,35-39,793838,36777,24063,1122639,6550
State - PUNJAB,40-44,683330,30263,20829,1044120,5923
State - PUNJAB,45-49,600056,23798,16913,938370,5325
State - PUNJAB,50-54,470948,16797,12142,747491,4701
State - PUNJAB,55-59,351161,11485,9236,579058,3814
State - PUNJAB,60-64,330658,13085,10582,636930,3500
State - PUNJAB,65-69,227656,9196,7654,471342,2412
State - PUNJAB,70-74,163594,6669,5074,335478,1748
State - PUNJAB,75-79,81464,3118,2042,168552,994
State - PUNJAB,80+,114198,5145,3204,254894,1170
State - CHANDIGARH,0-4,68422,5196,648,7248,173
State - CHANDIGARH,5-9,76382,5749,666,8095,171
State - CHANDIGARH,10-14,77169,5588,733,9661,214
State - CHANDIGARH,15-19,84521,6132,813,12486,350
State - CHANDIGARH,20-24,98050,6730,998,14781,551
State - CHANDIGARH,25-29,91096,5712,895,12119,337
State - CHANDIGARH,30-34,75241,4335,737,10186,242
State - CHANDIGARH,35-39,68706,3716,713,10284,209
State - CHANDIGARH,40-44,55459,2654,706,9828,223
State - CHANDIGARH,45-49,47856,1998,570,9671,222
State - CHANDIGARH,50-54,36326,1182,418,8783,205
State - CHANDIGARH,55-59,26270,751,316,7424,153
State - CHANDIGARH,60-64,18815,776,210,5885,101
State - CHANDIGARH,65-69,11154,437,114,4056,67
State - CHANDIGARH,70-74,7761,257,90,3220,53
State - CHANDIGARH,75-79,4220,82,40,2028,50
State - CHANDIGARH,80+,4856,138,53,2535,43
State - UTTARAKHAND,0-4,736921,162851,2779,19110,1276
State - UTTARAKHAND,5-9,844979,186087,3264,21368,1641
State - UTTARAKHAND,10-14,921990,191417,3544,24674,2313
State - UTTARAKHAND,15-19,903801,185833,3879,26283,3065
State - UTTARAKHAND,20-24,791379,147545,3748,23602,2726
State - UTTARAKHAND,25-29,677093,107007,3296,19545,2439
State - UTTARAKHAND,30-34,588340,86907,3063,17204,2101
State - UTTARAKHAND,35-39,560694,83060,2850,16562,1777
State - UTTARAKHAND,40-44,482714,65202,2429,14313,1570
State - UTTARAKHAND,45-49,422568,50743,2061,12392,1257
State - UTTARAKHAND,50-54,349606,35119,1686,9338,1110
State - UTTARAKHAND,55-59,280858,27402,1491,7579,906
State - UTTARAKHAND,60-64,287244,30871,1334,8496,883
State - UTTARAKHAND,65-69,193104,18400,867,5578,635
State - UTTARAKHAND,70-74,145172,12727,629,4218,536
State - UTTARAKHAND,75-79,76435,5198,326,2222,388
State - UTTARAKHAND,80+,91839,8610,443,3474,432
State - HARYANA,0-4,1982942,272035,4161,91962,4824
State - HARYANA,5-9,2112108,274669,4196,97534,4930
State - HARYANA,10-14,2286819,255176,4362,112018,5243
State - HARYANA,15-19,2340522,197594,4602,124640,5081
State - HARYANA,20-24,2265239,162538,5414,124114,5539
State - HARYANA,25-29,1986624,124681,5030,106042,5934
State - HARYANA,30-34,1687668,100216,4412,93194,5419
State - HARYANA,35-39,1570991,92180,3740,88037,4740
State - HARYANA,40-44,1342573,73710,3256,80691,4166
State - HARYANA,45-49,1106512,55977,2888,71456,3792
State - HARYANA,50-54,862214,40819,2374,55482,3362
State - HARYANA,55-59,669211,31702,1808,44663,2836
State - HARYANA,60-64,744485,39329,1600,55525,2664
State - HARYANA,65-69,442690,23958,960,34772,1554
State - HARYANA,70-74,329262,16654,676,25985,1158
State - HARYANA,75-79,172843,7848,361,14281,658
State - HARYANA,80+,240703,10963,457,21364,714
State - NCT OF DELHI,0-4,1100051,223466,8987,34878,11916
State - NCT OF DELHI,5-9,1222403,250866,10540,37791,13004
State - NCT OF DELHI,10-14,1317526,259831,12066,43008,14377
State - NCT OF DELHI,15-19,1335693,255028,12370,47605,15393
State - NCT OF DELHI,20-24,1431953,246313,14685,53171,16540
State - NCT OF DELHI,25-29,1376435,207365,13954,51991,17334
State - NCT OF DELHI,30-34,1191004,168207,12329,45968,16146
State - NCT OF DELHI,35-39,1096706,151145,12803,43103,14624
State - NCT OF DELHI,40-44,914610,116315,12620,39208,13733
State - NCT OF DELHI,45-49,760956,87705,11080,37881,13037
